#asicid/I:asicch/I:detid/I:stripid/I:material/I:posx/F:posy/F:posz/F:widthx/F:widthy/F:widthz/F:badch/I:ethre/F:	     
3 22 12 1131 1 -10.875 0.0 -16.0 0.25 -1 0.75 0 5.0	7.907e-03 1.073e+00 -2.163e-04 3.180e-06 -8.639e-09 6.102e-12
3 24 12 1132 1 -11.125 0.0 -16.0 0.25 -1 0.75 0 5.0	3.850e-01 1.091e+00 -4.087e-04 4.039e-06 -9.769e-09 6.453e-12
3 26 12 1133 1 -11.375 0.0 -16.0 0.25 -1 0.75 0 5.0	1.481e+00 1.130e+00 -1.344e-03 8.664e-06 -1.801e-08 1.149e-11
3 28 12 1134 1 -11.625 0.0 -16.0 0.25 -1 0.75 0 5.0	5.149e-01 1.073e+00 -4.128e-04 4.319e-06 -1.009e-08 6.375e-12
3 30 12 1135 1 -11.875 0.0 -16.0 0.25 -1 0.75 0 5.0	7.781e-01 1.101e+00 -5.720e-04 2.602e-06 -5.138e-09 3.346e-12
3 32 12 1136 1 -12.125 0.0 -16.0 0.25 -1 0.75 0 5.0	-4.638e-01 1.117e+00 -3.418e-04 3.240e-06 -8.606e-09 6.104e-12
3 34 12 1137 1 -12.375 0.0 -16.0 0.25 -1 0.75 0 5.0	1.269e+00 1.134e+00 -1.198e-03 7.171e-06 -1.400e-08 8.099e-12
3 36 12 1138 1 -12.625 0.0 -16.0 0.25 -1 0.75 0 5.0	1.527e+00 1.127e+00 -1.372e-03 9.299e-06 -2.101e-08 1.463e-11
3 38 12 1139 1 -12.875 0.0 -16.0 0.25 -1 0.75 0 5.0	3.320e+00 1.147e+00 -2.150e-03 1.232e-05 -2.228e-08 1.227e-11
3 40 12 1140 1 -13.125 0.0 -16.0 0.25 -1 0.75 0 5.0	1.379e+00 1.145e+00 -1.023e-03 2.297e-06 -1.205e-09 -3.968e-13
3 42 12 1141 1 -13.375 0.0 -16.0 0.25 -1 0.75 0 5.0	3.846e-01 1.076e+00 -3.141e-04 3.776e-06 -9.346e-09 6.139e-12
3 44 12 1142 1 -13.625 0.0 -16.0 0.25 -1 0.75 0 5.0	2.053e+00 1.149e+00 -1.533e-03 6.718e-06 -1.105e-08 5.956e-12
3 46 12 1143 1 -13.875 0.0 -16.0 0.25 -1 0.75 0 5.0	-1.109e-01 1.134e+00 -6.010e-04 4.322e-06 -1.052e-08 7.399e-12
3 48 12 1144 1 -14.125 0.0 -16.0 0.25 -1 0.75 0 5.0	1.168e+00 1.134e+00 -1.152e-03 6.834e-06 -1.356e-08 8.064e-12
